,Temperature,RelativeHumidity
0,20.0,100.0
1,20.0,100.0
2,21.0,94.0
3,24.0,78.0
4,25.0,69.0
5,26.0,65.0
6,27.0,66.0
7,28.0,66.0
8,28.0,66.0
9,29.0,62.0
10,30.0,59.0
11,30.0,59.0
12,29.0,62.0
13,29.0,62.0
14,27.0,74.0
15,27.0,79.0
16,27.0,79.0
17,26.0,89.0
18,26.0,89.0
19,25.0,94.0
20,25.0,94.0
21,25.0,94.0
22,24.0,94.0
23,24.0,94.0
24,23.0,94.0
25,22.0,94.0
26,22.0,94.0
27,21.0,94.0
28,21.0,94.0
29,22.0,88.0
30,26.0,65.0
31,29.0,52.0
32,30.0,49.0
33,32.0,38.0
34,32.0,38.0
35,31.0,46.0
36,30.0,55.0
37,29.0,62.0
38,28.0,66.0
39,27.0,70.0
40,27.0,70.0
41,26.0,79.0
42,26.0,84.0
43,26.0,84.0
44,20.0,94.0
45,20.0,94.0
46,21.0,83.0
47,21.0,83.0
48,22.0,78.0
49,24.0,61.0
50,27.0,48.0
51,28.0,45.0
52,30.0,35.0
53,31.0,31.0
54,32.0,32.0
55,32.0,32.0
56,33.0,30.0
57,33.0,32.0
58,33.0,32.0
59,33.0,34.0
60,33.0,34.0
61,31.0,43.0
62,30.0,49.0
63,29.0,55.0
64,29.0,55.0
65,27.0,70.0
66,26.0,79.0
67,25.0,84.0
68,25.0,84.0
69,25.0,84.0
70,25.0,84.0
71,25.0,74.0
72,25.0,74.0
73,25.0,65.0
74,26.0,61.0
75,27.0,54.0
76,27.0,54.0
77,27.0,51.0
78,30.0,40.0
79,31.0,36.0
80,31.0,36.0
81,32.0,36.0
82,31.0,40.0
83,31.0,40.0
84,31.0,40.0
85,30.0,43.0
86,28.0,45.0
87,27.0,48.0
88,27.0,48.0
89,27.0,45.0
90,26.0,48.0
91,26.0,48.0
92,25.0,54.0
93,24.0,61.0
94,23.0,65.0
95,23.0,65.0
96,22.0,78.0
97,23.0,74.0
98,25.0,65.0
99,27.0,58.0
100,29.0,45.0
101,29.0,45.0
102,32.0,30.0
103,34.0,26.0
104,35.0,23.0
105,36.0,25.0
106,36.0,25.0
107,36.0,25.0
108,35.0,27.0
109,35.0,27.0
110,33.0,30.0
111,32.0,32.0
112,32.0,32.0
113,30.0,38.0
114,30.0,38.0
115,30.0,38.0
116,28.0,42.0
117,27.0,45.0
118,27.0,48.0
119,26.0,51.0
120,26.0,48.0
121,28.0,40.0
122,29.0,35.0
123,31.0,31.0
124,33.0,26.0
125,34.0,23.0
126,36.0,17.0
127,37.0,15.0
128,37.0,14.0
129,38.0,14.0
130,39.0,13.0
131,39.0,13.0
132,38.0,13.0
133,37.0,16.0
134,33.0,21.0
135,35.4,35.0
136,30.0,33.0
137,30.0,33.0
138,30.0,25.0
139,29.0,27.0
140,28.0,33.0
141,28.0,35.0
142,27.0,37.0
143,26.0,42.0
144,25.0,44.0
145,26.0,42.0
146,29.0,31.0
147,31.0,26.0
148,34.0,18.0
149,36.0,16.0
150,37.0,17.0
151,39.0,15.0
152,39.0,13.0
153,39.0,13.0
154,39.0,12.0
155,39.0,11.0
